投注详细信息, , ,赔率,投注金额,输赢
751272220 DRAW,"已下注 - 2026年7月10日, 22:36:10  - 已结算 - 2026年7月11日, 05:12:07 ","小盘 3 大小盘 - 比赛

 -  西班牙  vs 比利时  国际足联 - 世界杯, 2026年7月11日, 03:00:00 , 最终得分: [2-1]","0.657 (港式)","风险: 60.00","0.00",
751002244 WIN,"已下注 - 2026年7月9日, 22:49:50  - 已结算 - 2026年7月10日, 06:16:05 ","小盘 2.5 大小盘 - 比赛

 -  法国  vs 摩洛哥  国际足联 - 世界杯, 2026年7月10日, 04:00:00 , 最终得分: [2-0]","0.854 (港式)","风险: 125.00","106.75",
751002561 LOSE,"已下注 - 2026年7月9日, 22:49:07  - 已结算 - 2026年7月10日, 06:12:24 ","摩洛哥 +1 让球盘 - 比赛

 -  法国  vs 摩洛哥  国际足联 - 世界杯, 2026年7月10日, 04:00:00 , 最终得分: [2-0]","0.833 (港式)","风险: 118.00","-118.00",
750586023 WIN_HALF,"已下注 - 2026年7月8日, 01:36:51  - 已结算 - 2026年7月8日, 05:58:20 ","瑞士 +0.25 让球盘 - 比赛

 -  瑞士  vs 哥伦比亚  国际足联 - 世界杯, 2026年7月8日, 04:00:00 , 最终得分: [0-0]","0.952 (港式)","风险: 100.00","47.60",
750559961 WIN,"已下注 - 2026年7月8日, 00:13:38  - 已结算 - 2026年7月8日, 02:10:59 ","大盘 2 大小盘 - 比赛

 - 滚球盘 阿根廷  vs 埃及  国际足联 - 世界杯, 2026年7月8日, 00:00:00 , 最终得分: [3-2]","0.847 (港式)","风险: 100.00","84.70",
750315966 WIN,"已下注 - 2026年7月7日, 00:52:28  - 已结算 - 2026年7月7日, 10:04:26 ","比利时 +0.0 让球盘 - 比赛

 -  美国  vs 比利时  国际足联 - 世界杯, 2026年7月7日, 08:00:00 , 最终得分: [1-4]","1.150 (港式)","风险: 100.00","115.00",
750027008 LOSE,"已下注 - 2026年7月5日, 22:17:59  - 已结算 - 2026年7月6日, 11:21:12 ","小盘 2.5 大小盘 - 比赛

 -  墨西哥  vs 英格兰  国际足联 - 世界杯, 2026年7月6日, 09:00:00 , 最终得分: [2-3]","0.613 (港式)","风险: 125.00","-125.00",
750026548 WIN,"已下注 - 2026年7月5日, 22:18:09  - 已结算 - 2026年7月6日, 11:17:13 ","英格兰 +0.0 让球盘 - 比赛

 -  墨西哥  vs 英格兰  国际足联 - 世界杯, 2026年7月6日, 09:00:00 , 最终得分: [2-3]","0.735 (港式)","风险: 90.00","66.15",
750027747 WIN,"已下注 - 2026年7月5日, 22:19:13  - 已结算 - 2026年7月6日, 06:15:52 ","大盘 2.5 大小盘 - 比赛

 -  巴西  vs 挪威  国际足联 - 世界杯, 2026年7月6日, 04:00:00 , 最终得分: [1-2]","0.709 (港式)","风险: 120.00","85.08",
749774715 WIN,"已下注 - 2026年7月4日, 23:38:32  - 已结算 - 2026年7月5日, 07:19:51 ","小盘 3 大小盘 - 比赛

 -  巴拉圭  vs 法国  国际足联 - 世界杯, 2026年7月5日, 05:00:00 , 最终得分: [0-1]","0.800 (港式)","风险: 125.00","100.00",
749776810 WIN,"已下注 - 2026年7月4日, 23:39:43  - 已结算 - 2026年7月5日, 07:16:49 ","巴拉圭 +2 让球盘 - 比赛

 -  巴拉圭  vs 法国  国际足联 - 世界杯, 2026年7月5日, 05:00:00 , 最终得分: [0-1]","0.781 (港式)","风险: 125.00","97.63",
749776202 LOSE,"已下注 - 2026年7月4日, 23:41:56  - 已结算 - 2026年7月5日, 03:08:49 ","加拿大 +0.75 让球盘 - 比赛

 -  加拿大  vs 摩洛哥  国际足联 - 世界杯, 2026年7月5日, 01:00:00 , 最终得分: [0-3]","0.847 (港式)","风险: 125.00","-125.00",
749471488 LOSE,"已下注 - 2026年7月3日, 23:07:28  - 已结算 - 2026年7月4日, 11:41:28 ","大盘 2.25 大小盘 - 比赛

 -  哥伦比亚  vs 加纳  国际足联 - 世界杯, 2026年7月4日, 09:30:00 , 最终得分: [1-0]","0.833 (港式)","风险: 90.00","-90.00",
749471441 DRAW,"已下注 - 2026年7月3日, 23:06:53  - 已结算 - 2026年7月4日, 11:37:48 ","哥伦比亚 -1 让球盘 - 比赛

 -  哥伦比亚  vs 加纳  国际足联 - 世界杯, 2026年7月4日, 09:30:00 , 最终得分: [1-0]","0.740 (港式)","风险: 90.00","0.00",
749470704 WIN,"已下注 - 2026年7月3日, 23:09:35  - 已结算 - 2026年7月4日, 08:00:27 ","小盘 3 大小盘 - 比赛

 -  阿根廷  vs 佛得角  国际足联 - 世界杯, 2026年7月4日, 06:00:00 , 最终得分: [1-1]","0.847 (港式)","风险: 60.00","50.82",
749470850 WIN_HALF,"已下注 - 2026年7月3日, 23:10:53  - 已结算 - 2026年7月4日, 03:59:46 ","澳大利亚 +0.25 让球盘 - 比赛

 -  澳大利亚  vs 埃及  国际足联 - 世界杯, 2026年7月4日, 02:00:00 , 最终得分: [1-1]","0.909 (港式)","风险: 98.00","44.54",
749213026 LOSE_HALF,"已下注 - 2026年7月2日, 23:44:51  - 已结算 - 2026年7月3日, 13:16:32 ","大盘 2.25 大小盘 - 比赛

 -  瑞士  vs 阿尔及利亚  国际足联 - 世界杯, 2026年7月3日, 11:00:00 , 最终得分: [2-0]","0.970 (港式)","风险: 116.00","-58.00",
749212093 WIN,"已下注 - 2026年7月2日, 23:42:40  - 已结算 - 2026年7月3日, 13:13:13 ","瑞士 -0.5 让球盘 - 比赛

 -  瑞士  vs 阿尔及利亚  国际足联 - 世界杯, 2026年7月3日, 11:00:00 , 最终得分: [2-0]","0.952 (港式)","风险: 108.00","102.82",
749211995 LOSE,"已下注 - 2026年7月2日, 23:41:35  - 已结算 - 2026年7月3日, 05:04:11 ","奥地利 +1.5 让球盘 - 比赛

 -  西班牙  vs 奥地利  国际足联 - 世界杯, 2026年7月3日, 03:00:00 , 最终得分: [3-0]","1.030 (港式)","风险: 125.00","-125.00",
748927087 LOSE,"已下注 - 2026年7月1日, 22:18:08  - 已结算 - 2026年7月2日, 10:12:48 ","波黑 +1.5 让球盘 - 比赛

 -  美国  vs 波黑  国际足联 - 世界杯, 2026年7月2日, 08:00:00 , 最终得分: [2-0]","0.800 (港式)","风险: 90.00","-90.00",
748928397 LOSE_HALF,"已下注 - 2026年7月1日, 22:27:06  - 已结算 - 2026年7月2日, 06:04:29 ","比利时 -0.25 让球盘 - 比赛

 -  比利时  vs 塞内加尔  国际足联 - 世界杯, 2026年7月2日, 04:00:00 , 最终得分: [2-2]","0.847 (港式)","风险: 88.00","-44.00",
748925690 WIN,"已下注 - 2026年7月1日, 22:15:41  - 已结算 - 2026年7月2日, 02:13:28 ","民主刚果 +1.5 让球盘 - 比赛

 -  英格兰  vs 民主刚果  国际足联 - 世界杯, 2026年7月2日, 00:00:00 , 最终得分: [2-1]","0.925 (港式)","风险: 125.00","115.63",
748644412 LOSE,"已下注 - 2026年6月30日, 21:13:21  - 已结算 - 2026年7月1日, 12:26:36 ","厄瓜多尔 +0.25 让球盘 - 比赛

 -  墨西哥  vs 厄瓜多尔  国际足联 - 世界杯, 2026年7月1日, 10:00:00 , 最终得分: [2-0]","1.000 (港式)","风险: 75.00","-75.00",
748645570 LOSE_HALF,"已下注 - 2026年6月30日, 21:15:38  - 已结算 - 2026年7月1日, 07:01:37 ","大盘 3.25 大小盘 - 比赛

 -  法国  vs 瑞典  国际足联 - 世界杯, 2026年7月1日, 05:00:00 , 最终得分: [3-0]","0.925 (港式)","风险: 75.00","-37.50",
748644491 WIN,"已下注 - 2026年6月30日, 21:14:21  - 已结算 - 2026年7月1日, 06:57:57 ","法国 -1.5 让球盘 - 比赛

 -  法国  vs 瑞典  国际足联 - 世界杯, 2026年7月1日, 05:00:00 , 最终得分: [3-0]","0.862 (港式)","风险: 75.00","64.65",
748645919 LOSE,"已下注 - 2026年6月30日, 21:17:22  - 已结算 - 2026年7月1日, 03:13:56 ","小盘 2.5 大小盘 - 比赛

 -  科特迪瓦  vs 挪威  国际足联 - 世界杯, 2026年7月1日, 01:00:00 , 最终得分: [1-2]","0.961 (港式)","风险: 75.00","-75.00",
748644824 WIN,"已下注 - 2026年6月30日, 21:16:44  - 已结算 - 2026年7月1日, 03:10:35 ","挪威 -0.25 让球盘 - 比赛

 -  科特迪瓦  vs 挪威  国际足联 - 世界杯, 2026年7月1日, 01:00:00 , 最终得分: [1-2]","0.862 (港式)","风险: 65.00","56.03",
748420255 WIN_HALF,"已下注 - 2026年6月29日, 23:31:46  - 已结算 - 2026年6月30日, 11:59:32 ","小盘 2.25 大小盘 - 比赛

 -  荷兰  vs 摩洛哥  国际足联 - 世界杯, 2026年6月30日, 09:00:00 , 最终得分: [1-1]","0.934 (港式)","风险: 80.00","37.36",
748375084 LOSE,"已下注 - 2026年6月29日, 20:54:23  - 已结算 - 2026年6月30日, 11:57:35 ","摩洛哥  输赢盘 - 比赛

 -  荷兰  vs 摩洛哥  国际足联 - 世界杯, 2026年6月30日, 09:00:00 , 最终得分: [1-1]","3.620 (欧式)","风险: 47.97","-47.97",
748418810 WIN,"已下注 - 2026年6月29日, 23:28:31  - 已结算 - 2026年6月30日, 06:32:32 ","巴拉圭 +1.5 让球盘 - 比赛

 -  德国  vs 巴拉圭  国际足联 - 世界杯, 2026年6月30日, 04:30:00 , 最终得分: [1-1]","0.787 (港式)","风险: 60.00","47.22",
748419524 WIN,"已下注 - 2026年6月29日, 23:27:23  - 已结算 - 2026年6月30日, 06:32:32 ","小盘 2.75 大小盘 - 比赛

 -  德国  vs 巴拉圭  国际足联 - 世界杯, 2026年6月30日, 04:30:00 , 最终得分: [1-1]","0.980 (港式)","风险: 80.00","78.40",
748420379 LOSE,"已下注 - 2026年6月29日, 23:32:35  - 已结算 - 2026年6月30日, 03:15:54 ","日本 +0.5 让球盘 - 比赛

 -  巴西  vs 日本  国际足联 - 世界杯, 2026年6月30日, 01:00:00 , 最终得分: [2-1]","1.160 (港式)","风险: 60.00","-60.00",
748201932 WIN_HALF,"已下注 - 2026年6月28日, 21:53:13  - 已结算 - 2026年6月29日, 05:09:30 ","加拿大 -0.75 让球盘 - 比赛

 -  南非  vs 加拿大  国际足联 - 世界杯, 2026年6月29日, 03:00:00 , 最终得分: [0-1]","0.900 (港式)","风险: 33.08","14.89",
748004652 WIN,"已下注 - 2026年6月28日, 00:21:12  - 已结算 - 2026年6月28日, 12:06:38 ","大盘 1.75 大小盘 - 比赛

 -  阿尔及利亚  vs 奥地利  国际足联 - 世界杯, 2026年6月28日, 10:00:00 , 最终得分: [3-3]","1.010 (港式)","风险: 108.00","109.08",
748003848 WIN,"已下注 - 2026年6月28日, 00:17:43  - 已结算 - 2026年6月28日, 12:03:16 ","大盘 3 大小盘 - 比赛

 -  约旦  vs 阿根廷  国际足联 - 世界杯, 2026年6月28日, 10:00:00 , 最终得分: [1-3]","0.833 (港式)","风险: 108.00","89.96",
748005072 DRAW,"已下注 - 2026年6月28日, 00:19:16  - 已结算 - 2026年6月28日, 12:03:16 ","奥地利 +0.0 让球盘 - 比赛

 -  阿尔及利亚  vs 奥地利  国际足联 - 世界杯, 2026年6月28日, 10:00:00 , 最终得分: [3-3]","0.869 (港式)","风险: 108.00","0.00",
748005640 WIN,"已下注 - 2026年6月28日, 00:23:46  - 已结算 - 2026年6月28日, 07:04:36 ","大盘 2 大小盘 - 比赛

 -  克罗地亚  vs 加纳  国际足联 - 世界杯, 2026年6月28日, 05:00:00 , 最终得分: [2-1]","0.847 (港式)","风险: 50.00","42.35",
748005623 WIN,"已下注 - 2026年6月28日, 00:23:33  - 已结算 - 2026年6月28日, 07:01:15 ","克罗地亚 -0.5 让球盘 - 比赛

 -  克罗地亚  vs 加纳  国际足联 - 世界杯, 2026年6月28日, 05:00:00 , 最终得分: [2-1]","0.934 (港式)","风险: 50.00","46.70",
747693718 LOSE,"已下注 - 2026年6月26日, 22:16:42  - 已结算 - 2026年6月27日, 13:02:43 ","小盘 3.75 大小盘 - 比赛

 -  新西兰  vs 比利时  国际足联 - 世界杯, 2026年6月27日, 11:00:00 , 最终得分: [1-5]","0.900 (港式)","风险: 108.00","-108.00",
747696002 WIN,"已下注 - 2026年6月26日, 22:26:56  - 已结算 - 2026年6月27日, 10:07:23 ","小盘 2.25 大小盘 - 比赛

 -  乌拉圭  vs 西班牙  国际足联 - 世界杯, 2026年6月27日, 08:00:00 , 最终得分: [0-1]","0.900 (港式)","风险: 68.00","61.20",
747694316 WIN,"已下注 - 2026年6月26日, 22:17:35  - 已结算 - 2026年6月27日, 10:03:45 ","小盘 2.25 大小盘 - 比赛

 -  佛得角  vs 沙特阿拉伯  国际足联 - 世界杯, 2026年6月27日, 08:00:00 , 最终得分: [0-0]","1.010 (港式)","风险: 108.00","109.08",
747691642 LOSE,"已下注 - 2026年6月26日, 22:07:40  - 已结算 - 2026年6月27日, 05:09:03 ","小盘 3 大小盘 - 比赛

 -  塞内加尔  vs 伊拉克  国际足联 - 世界杯, 2026年6月27日, 03:00:00 , 最终得分: [5-0]","1.070 (港式)","风险: 108.00","-108.00",
747693557 LOSE,"已下注 - 2026年6月26日, 22:15:12  - 已结算 - 2026年6月27日, 05:06:23 ","伊拉克 +2 让球盘 - 比赛

 -  塞内加尔  vs 伊拉克  国际足联 - 世界杯, 2026年6月27日, 03:00:00 , 最终得分: [5-0]","0.833 (港式)","风险: 108.00","-108.00",
747695118 LOSE,"已下注 - 2026年6月26日, 22:20:03  - 已结算 - 2026年6月27日, 05:01:23 ","挪威 +1 让球盘 - 比赛

 -  挪威  vs 法国  国际足联 - 世界杯, 2026年6月27日, 03:00:00 , 最终得分: [1-4]","0.819 (港式)","风险: 108.00","-108.00",
747481541 LOSE,"已下注 - 2026年6月25日, 23:08:08  - 已结算 - 2026年6月26日, 12:04:02 ","美国 -0.5 让球盘 - 比赛

 -  土耳其  vs 美国  国际足联 - 世界杯, 2026年6月26日, 10:00:00 , 最终得分: [3-2]","0.892 (港式)","风险: 88.00","-88.00",
747486847 LOSE,"已下注 - 2026年6月25日, 23:22:58  - 已结算 - 2026年6月26日, 09:04:02 ","大盘 2.5 大小盘 - 比赛

 -  日本  vs 瑞典  国际足联 - 世界杯, 2026年6月26日, 07:00:00 , 最终得分: [1-1]","0.952 (港式)","风险: 68.00","-68.00",
747486025 LOSE,"已下注 - 2026年6月25日, 23:22:14  - 已结算 - 2026年6月26日, 09:00:00 ","日本 -0.5 让球盘 - 比赛

 -  日本  vs 瑞典  国际足联 - 世界杯, 2026年6月26日, 07:00:00 , 最终得分: [1-1]","0.961 (港式)","风险: 88.00","-88.00",
747488367 LOSE,"已下注 - 2026年6月25日, 23:29:25  - 已结算 - 2026年6月26日, 08:56:42 ","荷兰 -2.5 让球盘 - 比赛

 -  突尼斯  vs 荷兰  国际足联 - 世界杯, 2026年6月26日, 07:00:00 , 最终得分: [1-3]","1.000 (港式)","风险: 68.00","-68.00",
747485324 WIN,"已下注 - 2026年6月25日, 23:19:11  - 已结算 - 2026年6月26日, 06:02:40 ","厄瓜多尔 +1 让球盘 - 比赛

 -  厄瓜多尔  vs 德国  国际足联 - 世界杯, 2026年6月26日, 04:00:00 , 最终得分: [2-1]","0.869 (港式)","风险: 68.00","59.09",
747483814 WIN,"已下注 - 2026年6月25日, 23:14:40  - 已结算 - 2026年6月26日, 06:01:39 ","小盘 3.5 大小盘 - 比赛

 -  库拉索  vs 科特迪瓦  国际足联 - 世界杯, 2026年6月26日, 04:00:00 , 最终得分: [0-2]","0.751 (港式)","风险: 88.00","66.09",
747228423 WIN,"已下注 - 2026年6月25日, 00:05:49  - 已结算 - 2026年6月25日, 11:00:57 ","墨西哥 -0.25 让球盘 - 比赛

 -  捷克  vs 墨西哥  国际足联 - 世界杯, 2026年6月25日, 09:00:00 , 最终得分: [0-3]","0.709 (港式)","风险: 108.00","76.57",
747226382 LOSE,"已下注 - 2026年6月25日, 00:00:45  - 已结算 - 2026年6月25日, 05:04:36 ","小盘 3 大小盘 - 比赛

 -  波黑  vs 卡塔尔  国际足联 - 世界杯, 2026年6月25日, 03:00:00 , 最终得分: [3-1]","0.961 (港式)","风险: 108.00","-108.00",
747228691 WIN,"已下注 - 2026年6月25日, 00:06:53  - 已结算 - 2026年6月25日, 04:58:18 ","瑞士 -0.25 让球盘 - 比赛

 -  瑞士  vs 加拿大  国际足联 - 世界杯, 2026年6月25日, 03:00:00 , 最终得分: [2-1]","1.130 (港式)","风险: 108.00","122.04",
746948612 WIN,"已下注 - 2026年6月23日, 23:05:56  - 已结算 - 2026年6月24日, 12:02:15 ","小盘 2.5 大小盘 - 比赛

 -  哥伦比亚  vs 民主刚果  国际足联 - 世界杯, 2026年6月24日, 10:00:00 , 最终得分: [1-0]","0.746 (港式)","风险: 158.00","117.87",
746948203 LOSE,"已下注 - 2026年6月23日, 23:03:12  - 已结算 - 2026年6月24日, 09:02:13 ","大盘 3 大小盘 - 比赛

 -  巴拿马  vs 克罗地亚  国际足联 - 世界杯, 2026年6月24日, 07:00:00 , 最终得分: [0-1]","1.140 (港式)","风险: 88.00","-88.00",
746947152 LOSE_HALF,"已下注 - 2026年6月23日, 23:02:09  - 已结算 - 2026年6月24日, 08:58:35 ","克罗地亚 -1.25 让球盘 - 比赛

 -  巴拿马  vs 克罗地亚  国际足联 - 世界杯, 2026年6月24日, 07:00:00 , 最终得分: [0-1]","1.080 (港式)","风险: 158.00","-79.00",
746946566 WIN,"已下注 - 2026年6月23日, 22:59:08  - 已结算 - 2026年6月24日, 06:07:33 ","小盘 3.25 大小盘 - 比赛

 -  英格兰  vs 加纳  国际足联 - 世界杯, 2026年6月24日, 04:00:00 , 最终得分: [0-0]","0.729 (港式)","风险: 108.00","78.73",
746945839 LOSE,"已下注 - 2026年6月23日, 22:56:00  - 已结算 - 2026年6月24日, 03:11:15 ","小盘 3.5 大小盘 - 比赛

 -  葡萄牙  vs 乌兹别克斯坦  国际足联 - 世界杯, 2026年6月24日, 01:00:00 , 最终得分: [5-0]","0.709 (港式)","风险: 98.00","-98.00",
746701858 DRAW,"已下注 - 2026年6月23日, 00:20:44  - 已结算 - 2026年6月23日, 13:02:11 ","阿尔及利亚 -1 让球盘 - 比赛

 -  约旦  vs 阿尔及利亚  国际足联 - 世界杯, 2026年6月23日, 11:00:00 , 最终得分: [1-2]","0.925 (港式)","风险: 64.00","0.00",
746701698 WIN,"已下注 - 2026年6月23日, 00:22:56  - 已结算 - 2026年6月23日, 10:01:53 ","挪威 -0.5 让球盘 - 比赛

 -  挪威  vs 塞内加尔  国际足联 - 世界杯, 2026年6月23日, 08:00:00 , 最终得分: [3-2]","1.260 (港式)","风险: 66.00","83.16",
746698024 WIN,"已下注 - 2026年6月23日, 00:08:38  - 已结算 - 2026年6月23日, 08:52:33 ","小盘 3.5 大小盘 - 比赛

 -  法国  vs 伊拉克  国际足联 - 世界杯, 2026年6月23日, 05:00:00 , 最终得分: [3-0]","1.050 (港式)","风险: 108.00","113.40",
746698924 LOSE,"已下注 - 2026年6月23日, 00:11:00  - 已结算 - 2026年6月23日, 03:07:09 ","奥地利 +1.25 让球盘 - 比赛

 -  阿根廷  vs 奥地利  国际足联 - 世界杯, 2026年6月23日, 01:00:00 , 最终得分: [2-0]","0.813 (港式)","风险: 108.00","-108.00",
746471043 LOSE,"已下注 - 2026年6月22日, 00:17:34  - 已结算 - 2026年6月22日, 11:02:19 ","新西兰 +1 让球盘 - 比赛

 -  新西兰  vs 埃及  国际足联 - 世界杯, 2026年6月22日, 09:00:00 , 最终得分: [1-3]","0.869 (港式)","风险: 66.00","-66.00",
746471229 LOSE,"已下注 - 2026年6月22日, 00:18:52  - 已结算 - 2026年6月22日, 08:09:57 ","小盘 2.25 大小盘 - 比赛

 -  乌拉圭  vs 佛得角  国际足联 - 世界杯, 2026年6月22日, 06:00:00 , 最终得分: [2-2]","0.840 (港式)","风险: 66.00","-66.00",
746470850 WIN,"已下注 - 2026年6月22日, 00:16:09  - 已结算 - 2026年6月22日, 05:03:17 ","伊朗 +1.5 让球盘 - 比赛

 -  比利时  vs 伊朗  国际足联 - 世界杯, 2026年6月22日, 03:00:00 , 最终得分: [0-0]","0.746 (港式)","风险: 66.00","49.24",
746470294 WIN,"已下注 - 2026年6月22日, 00:14:25  - 已结算 - 2026年6月22日, 02:03:17 ","小盘 4.5 大小盘 - 比赛

 - 滚球盘 西班牙  vs 沙特阿拉伯  国际足联 - 世界杯, 2026年6月22日, 00:00:00 , 最终得分: [4-0]","0.757 (港式)","风险: 66.00","49.96",
746316952 WIN,"已下注 - 2026年6月21日, 11:46:56  - 已结算 - 2026年6月21日, 14:01:35 ","大盘 2.5 大小盘 - 比赛

 -  突尼斯  vs 日本  国际足联 - 世界杯, 2026年6月21日, 12:00:00 , 最终得分: [0-4]","1.050 (港式)","风险: 108.00","113.40",
746186342 LOSE,"已下注 - 2026年6月20日, 23:58:30  - 已结算 - 2026年6月21日, 10:02:34 ","大盘 3 大小盘 - 比赛

 -  厄瓜多尔  vs 库拉索  国际足联 - 世界杯, 2026年6月21日, 08:00:00 , 最终得分: [0-0]","0.980 (港式)","风险: 108.00","-108.00",
746185474 DRAW,"已下注 - 2026年6月20日, 23:59:36  - 已结算 - 2026年6月21日, 06:02:25 ","德国 -1 让球盘 - 比赛

 -  德国  vs 科特迪瓦  国际足联 - 世界杯, 2026年6月21日, 04:00:00 , 最终得分: [2-1]","0.806 (港式)","风险: 108.00","0.00",
746188181 WIN,"已下注 - 2026年6月21日, 00:04:49  - 已结算 - 2026年6月21日, 03:03:06 ","大盘 3 大小盘 - 比赛

 -  荷兰  vs 瑞典  国际足联 - 世界杯, 2026年6月21日, 01:00:00 , 最终得分: [5-1]","1.020 (港式)","风险: 108.00","110.16",
总计,,,,7689.85,718.07
